Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
06D5	&#x06D5;	uni06D5	ARABIC LETTER AE	Kurdish; also in AAR3
067B	&#x067B;	uni067B	ARABIC LETTER BEEH	Sindhi; also in AAR4
0680	&#x0680;	uni0680	ARABIC LETTER BEHEH	Sindhi
067A	&#x067A;	uni067A	ARABIC LETTER TTEHEH	Sindhi
0754	&#x0754;	uni0754	ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE	Balochi
067C	&#x067C;	uni067C	ARABIC LETTER TEH WITH RING	Pashto
067D	&#x067D;	uni067D	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS	Sindhi
0683	&#x0683;	uni0683	ARABIC LETTER NYEH	Sindhi; also in AAR4
0684	&#x0684;	uni0684	ARABIC LETTER DYEH	Sindhi; also in AAR4
0687	&#x0687;	uni0687	ARABIC LETTER TCHEHEH	Sindhi; also in AAR4
0681	&#x0681;	uni0681	ARABIC LETTER HAH WITH HAMZA ABOVE	Pashto
0685	&#x0685;	uni0685	ARABIC LETTER HAH WITH THREE DOTS ABOVE	Pashto
0689	&#x0689;	uni0689	ARABIC LETTER DAL WITH RING	Pashto
068A	&#x068A;	uni068A	ARABIC LETTER DAL WITH DOT BELOW	Sindhi
068C	&#x068C;	uni068C	ARABIC LETTER DAHAL	Sindhi
068D	&#x068D;	uni068D	ARABIC LETTER DDAHAL	Sindhi
068F	&#x068F;	uni068F	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS	Sindhi
0693	&#x0693;	uni0693	ARABIC LETTER REH WITH RING	Pashto
0695	&#x0695;	uni0695	ARABIC LETTER REH WITH SMALL V BELOW	Kurdish
0696	&#x0696;	uni0696	ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE	Pashto
0699	&#x0699;	uni0699	ARABIC LETTER REH WITH FOUR DOTS ABOVE	Sindhi
069A	&#x069A;	uni069A	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE	Pashto
06A0	&#x06A0;	uni06A0	ARABIC LETTER AIN WITH THREE DOTS ABOVE	Jawi
06A6	&#x06A6;	uni06A6	ARABIC LETTER PEHEH	Sindhi
06AB	&#x06AB;	uni06AB	ARABIC LETTER KAF WITH RING	Pashto
06AC	&#x06AC;	uni06AC	ARABIC LETTER KAF WITH DOT ABOVE	Jawi
06B1	&#x06B1;	uni06B1	ARABIC LETTER NGOEH	Sindhi
06B3	&#x06B3;	uni06B3	ARABIC LETTER GUEH	Sindhi; also in AAR4
06B5	&#x06B5;	uni06B5	ARABIC LETTER LAM WITH SMALL V	Kurdish
06BC	&#x06BC;	uni06BC	ARABIC LETTER NOON WITH RING	Pashto
06BD	&#x06BD;	uni06BD	ARABIC LETTER NOON WITH THREE DOTS ABOVE	Jawi
06C6	&#x06C6;	uni06C6	ARABIC LETTER OE	Kurdish; also in AAR3 and AAR4
06D0	&#x06D0;	uni06D0	ARABIC LETTER E	Pashto; also in AAR3
06CD	&#x06CD;	uni06CD	ARABIC LETTER YEH WITH TAIL	Pashto
06CE	&#x06CE;	uni06CE	ARABIC LETTER YEH WITH SMALL V	Kurdish
06CF	&#x06CF;	uni06CF	ARABIC LETTER WAW WITH DOT ABOVE	Balochi
06FD	&#x06FD;	uni06FD	ARABIC SIGN SINDHI AMPERSAND	Sindhi
06FE	&#x06FE;	uni06FE	ARABIC SIGN SINDHI POSTPOSITION MEN	Sindhi
204F	&#x204F;	uni204F	REVERSED SEMICOLON	
2E41	&#x2E41;	uni2E41	REVERSED COMMA	
0659	&#x0659;	uni0659	ARABIC ZWARAKAY	
0656	&#x0656;	uni0656	ARABIC SUBSCRIPT ALEF	
065A	&#x065A;	uni065A	ARABIC VOWEL SIGN SMALL V ABOVE	Kurdish; also in AAR3
